202,892,180,1024,-5,-22,106,47,31,28,20,66,20
203,874,189,883,-3,-28,58,20,18,20,13,37,8
204,873,148,1125,-1,0,255,54,83,118,59,149,47
205,855,185,995,-1,0,56,11,23,22,20,32,4
206,845,180,988,1,17,273,76,74,123,73,142,58
207,835,156,1069,-1,-2,270,61,76,133,58,175,37
208,827,193,933,0,7,177,86,87,4,1,169,7
209,777,209,780,0,-25,33,8,13,12,6,25,2
210,776,210,790,0,0,3,0,0,3,0,2,1
211,767,195,912,0,0,44,13,15,16,11,26,7
212,766,186,849,2,36,78,14,29,35,18,51,9
213,739,203,746,-1,0,31,0,4,27,7,20,4
214,726,204,694,-1,-8,116,22,36,58,25,79,12
215,715,217,700,0,0,8,6,2,0,3,4,1
216,701,198,700,1,0,24,0,5,19,5,19,0
217,696,168,976,1,0,152,49,47,56,24,112,16
218,692,216,698,1,0,5,0,0,5,0,3,2
219,690,182,912,1,0,204,37,57,110,38,136,30
220,687,203,683,1,0,47,4,11,32,11,32,4
221,680,209,655,1,0,64,26,10,28,18,42,4
222,677,222,679,1,0,7,0,0,7,0,7,0
223,659,216,697,-7,-47,60,19,28,13,7,46,7
224,657,176,911,0,-1,244,53,76,115,45,160,39
225,638,224,623,0,0,64,5,32,27,7,51,6
226,630,205,669,0,0,10,0,3,7,0,9,1
227,619,198,790,0,0,122,17,34,71,19,91,12
228,604,203,812,0,-7,109,28,47,34,19,75,15
229,580,226,588,0,0,3,0,1,2,0,3,0
230,565,227,575,0,0,8,1,3,4,1,7,0
231,563,215,600,0,0,93,14,32,47,8,79,6
232,561,221,553,0,9,82,19,36,27,8,68,6
233,545,215,582,0,0,11,0,2,9,0,10,1
234,529,209,668,0,0,62,8,14,40,14,42,6
235,496,221,496,0,0,2,0,0,2,0,2,0
236,473,222,473,0,0,51,0,13,38,4,45,2
237,409,229,531,0,0,26,3,9,14,3,21,2
238,403,233,403,0,0,2,2,0,0,0,2,0
